frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
500.0,11.2,0.0508,40.0,0.0150478,131.96
1000.0,0.0,0.0254,32.0,0.000439472,125.127
630.0,0.0,0.1016,32.0,0.00150092,126.413
2000.0,3.3,0.1016,40.0,0.00245138,132.301
630.0,3.3,0.1016,32.0,0.00251435,128.952
400.0,5.4,0.1524,40.0,0.00485029,127.637
1600.0,5.4,0.1524,56.0,0.00433288,130.567
10000.0,0.0,0.1016,40.0,0.00146332,119.561
1250.0,9.9,0.1524,32.0,0.0252785,118.619
1250.0,12.7,0.0254,40.0,0.0130253,130.777
400.0,17.4,0.0254,56.0,0.0165706,115.461
2000.0,8.4,0.0508,56.0,0.00544854,133.042
315.0,7.3,0.2286,71.0,0.0104404,139.808
2500.0,0.0,0.0508,40.0,0.000791822,134.938
2000.0,15.6,0.1016,71.0,0.0437259,119.888
2000.0,15.6,0.1016,40.0,0.0528487,110.894
400.0,2.0,0.2286,71.0,0.00293031,125.116
2500.0,2.0,0.2286,56.0,0.00313525,123.862
2000.0,3.0,0.3048,40.0,0.00495741,120.532
8000.0,2.7,0.1524,40.0,0.00294804,116.659
2500.0,12.3,0.1016,32.0,0.0418756,110.317
2000.0,4.8,0.0254,40.0,0.000907475,128.916
4000.0,0.0,0.0508,56.0,0.00076193,134.946
1600.0,2.0,0.2286,40.0,0.00346574,125.837
800.0,9.9,0.1524,71.0,0.0193001,128.879
5000.0,0.0,0.1016,40.0,0.00146332,126.021
2500.0,19.7,0.0508,40.0,0.036484,116.184
630.0,4.8,0.0254,40.0,0.000907475,118.696
2000.0,9.9,0.1524,71.0,0.0193001,120.779
1600.0,8.9,0.1016,71.0,0.0103088,128.763
630.0,12.3,0.1016,32.0,0.0418756,119.287
1250.0,5.4,0.1524,71.0,0.00401199,134.111
250.0,15.4,0.0508,40.0,0.0282593,122.893
2500.0,17.4,0.0254,40.0,0.0172206,124.154
2500.0,19.7,0.0508,71.0,0.0341183,118.385
