frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
1250.0,9.5,0.0254,39.6,0.00449821,130.964
6300.0,5.4,0.1524,31.7,0.00525474,115.591
2000.0,7.3,0.2286,71.3,0.0104404,122.708
3150.0,17.4,0.0254,39.6,0.0172206,123.564
1600.0,11.2,0.0508,71.3,0.014072,135.191
2000.0,0.0,0.1016,55.5,0.00131983,132.54
1600.0,17.4,0.0254,39.6,0.0172206,127.614
2500.0,3.0,0.3048,31.7,0.00529514,119.598
1250.0,12.6,0.1524,71.3,0.0483159,120.154
1250.0,7.3,0.2286,39.6,0.0123481,123.189
800.0,0.0,0.3048,55.5,0.00283081,128.086
800.0,12.7,0.0254,39.6,0.0130253,130.217
12500.0,1.5,0.3048,71.3,0.00336729,109.222
5000.0,4.0,0.3048,71.3,0.00497773,117.785
200.0,15.4,0.0508,31.7,0.0289853,119.975
1250.0,5.3,0.2286,71.3,0.0051942,133.38
3150.0,15.6,0.1016,39.6,0.0528487,109.254
200.0,17.4,0.0254,71.3,0.016104,112.506
2500.0,4.0,0.2286,55.5,0.0042862,122.384
800.0,11.2,0.0508,71.3,0.014072,136.031
1600.0,9.5,0.0254,39.6,0.00449821,131.184
400.0,6.7,0.1016,31.7,0.00592927,128.296
4000.0,0.0,0.3048,39.6,0.00310138,119.229
12500.0,0.0,0.3048,71.3,0.00266337,112.241
1000.0,9.5,0.0254,31.7,0.00461377,131.346
1600.0,3.0,0.3048,71.3,0.00425727,126.514
2500.0,2.0,0.2286,39.6,0.00346574,121.397
2000.0,6.7,0.1016,39.6,0.00578076,122.235
8000.0,4.0,0.3048,71.3,0.00497773,113.665
2000.0,0.0,0.1524,71.3,0.0015988,128.647
2000.0,5.3,0.2286,39.6,0.00614329,117.911
800.0,0.0,0.0508,31.7,0.000812164,122.79
3150.0,3.0,0.3048,55.5,0.00452492,120.189
1600.0,3.3,0.1016,39.6,0.00245138,133.071
6300.0,0.0,0.0254,55.5,0.00041229,136.103
10000.0,0.0,0.1016,31.7,0.00150092,115.893
2000.0,6.7,0.1016,71.3,0.00478288,134.568
3150.0,4.0,0.2286,31.7,0.00509068,120.229
5000.0,2.7,0.1524,71.3,0.00243851,124.364
1000.0,17.4,0.0254,71.3,0.016104,125.816
2500.0,0.0,0.1016,55.5,0.00131983,133.04
500.0,15.6,0.1016,71.3,0.0437259,130.638
6300.0,3.0,0.3048,71.3,0.00425727,116.134
1250.0,3.0,0.3048,31.7,0.00529514,124.838
315.0,17.4,0.0254,31.7,0.0176631,118.416
4000.0,12.6,0.1524,39.6,0.0584113,104.5
5000.0,5.3,0.2286,39.6,0.00614329,115.311
500.0,3.0,0.3048,39.6,0.00495741,127.632
5000.0,0.0,0.1524,31.7,0.00209405,122.397
5000.0,3.3,0.1016,55.5,0.002211,124.839
500.0,4.0,0.2286,39.6,0.00473801,127.039
250.0,17.4,0.0254,71.3,0.016104,113.796
500.0,0.0,0.2286,39.6,0.00253511,126.195
1250.0,2.7,0.1524,39.6,0.00294804,130.829
250.0,0.0,0.3048,39.6,0.00310138,119.319
2500.0,12.3,0.1016,31.7,0.0418756,110.317
2000.0,4.8,0.0254,39.6,0.000907475,128.916
630.0,0.0,0.3048,39.6,0.00310138,128.629
400.0,8.9,0.1016,71.3,0.0103088,138.123
500.0,6.7,0.1016,55.5,0.0052139,129.343
1000.0,5.3,0.2286,39.6,0.00614329,125.581
630.0,17.4,0.0254,39.6,0.0172206,124.514
2000.0,7.2,0.1524,71.3,0.00752039,128.643
2500.0,15.4,0.0508,39.6,0.0282593,122.413
500.0,3.0,0.3048,71.3,0.00425727,128.454
3150.0,0.0,0.0508,55.5,0.00076193,134.826
10000.0,2.0,0.2286,71.3,0.00293031,113.086
