AT,V,AP,RH,PE
22.27,48.98,1014.47,49.33,451.74
9.79,39.69,1002.36,93.86,471.61
7.14,41.22,1016.6,97.09,435.58
16.62,54.3,1017.99,63.76,459590.0
19.77,54.42,1011.73,89.26,458.21
27.24,69.13,1009.28,70.85,432.36
16.07,47.83,1006.99,86.49,458.18
22.91,68.63,1014.92,55.82,448.01
12.62,40.92,1021.85,81.41,465.68
12.46,40.73,1017.53,93.47,464.7
31.92,75.33,1001.81,61.97,436.38
31.32,71.29,1008.37,50.07,430.46
10.82,41.55,1004.55,65.14,475.44
28.52,70.72,1009.64,66.76,437.72
24.6,75.23,1012.04,76.77,434.07
20.33,57.76,1016.47,75.35,450.25
29.12,58.84,1001.31,52.86,446.51
24.36,68.61,1010.27,63.78,448.71
26.04,71.14,1011.66,68.95,433780.0
30.52,70.04,1010.62,54.47,431.14
10.1,41.58,1021.26,94.06,468190.0
21.71,60.27,1015.74,89.76,441.19
18.03,58.86,1015.99,89.03,450.33
25.44,66.54,1011.9,56.76,437.99
23.06,63.9,1013.54,65.28,447.36
8.14,37.49,1009.04,80.33,480.66
20.31,69.94,1009.7,86.53,446.87
21.87,49.39,1019.99,67.05,451.97
9.43,41.4,1028.42,84.92,479.28
14.64,53.82,1016.33,60.59,463.18
30.12,69.71,1009.1,52.02,435.85
16.25,58.16,1018.34,78.59,458310.0
28.52,70.02,1010.34,54.21,441.98
30.81,71.97,1008.36,75.0,430.53
18.06,43.14,1013.95,62.21,461.27
15.38,43.99,1022.42,83.41,462.48
21.34,48.06,1014.49,63.23,458.13
19.83,39.39,1013.73,59.16,463.72
10.75,40.81,1015.93,79.27,474.71
24.33,46.93,1013.83,44.59,447.54
29.42,69.14,1007.32,75.04,437.75
24.96,70.47,1007.73,76.48,438.23
30.65,65.18,1012.51,42.32,436.79
28.8,74.9,1003.48,75.01,434010.0
15.34,71.14,1019.79,77.56,457.1
31.48,69.75,1008.9,45.66,438.19
29.87,73.91,1004.53,74.3,431800.0
31.07,70.32,1011.74,65.91,436160.0
22.17,70.47,1011.07,82.57,441.14
12.61,41.58,1020.17,85.18,463.36
8.6,36.66,1026.4,81.23,481.86
12.08,40.75,1015.84,86.9,476.84
26.44,71.73,1009.52,81.75,430.55
31.27,69.13,1009.45,57.01,425480.0
33.5,70.8,1008.99,57.24,433.19
15.48,44.99,1011.94,69.95,463.92
10.35,40.27,1005.09,92.42,477.8
10.67,40.56,1022.39,77.92,482.36
10.6,41.17,1018.38,87.92,478470.0
26.63,62.44,1010.86,70.82,438.25
25.67,58.59,1013.0,62.34,451.03
18.23,60.95,1016.74,78.85,455.53
14.57,25.88,1008.92,69.16,464110.0
28.85,59.27,1011.69,51.8,440.3
9.56,44.71,1021.13,64.6,487.92
25.38,72.24,1010.76,89.64,432.3
18.36,53.16,1013.14,79.89,457.94
27.58,57.19,1007.88,52.95,435.7
17.7,43.69,1016.98,61.98,462630.0
27.56,63.9,1013.23,45.97,442.43
28.88,63.76,1010.16,56.34,435.54
21.65,58.18,1008.33,95.28,441.05
27.34,70.98,1008.82,71.42,438.73
15.19,42.03,1017.38,71.66,462.64
30.06,67.25,1017.63,53.59,435020.0
23.95,66.48,1003.55,73.68,431870.0
24.37,68.14,1005.22,59.27,440220.0
26.62,65.12,1016.0,43.24,441220.0
10.48,40.0,1021.35,88.52,478860.0
22.04,69.51,1013.25,56.15,446.34
7.06,41.74,1021.95,90.38,448.97
18.32,42.28,1007.86,45.62,460.27
9.42,41.4,1029.99,88.41,477.01
12.02,41.92,1030.1,84.45,465.82
16.29,44.34,1019.49,59.36,468800.0
5.15,40.78,1025.34,95.84,483.03
6.03,41.17,1019.81,84.2,488.57
23.51,48.98,1014.63,41.56,454.06
8.39,52.72,1026.06,86.76,473.45
20.96,69.48,1011.04,82.63,444310.0
13.44,39.39,1012.93,84.29,469.67
24.04,51.95,1006.13,73.92,450.07
25.04,70.47,1006.82,84.75,433.1
9.68,40.22,1007.6,89.97,479560.0
16.91,43.96,1013.32,79.87,465.86
14.22,37.85,1011.24,88.49,471050.0
12.27,41.17,1019.41,58.1,475.13
28.43,68.08,1011.32,58.19,433.05
21.9,63.13,1011.54,81.83,447400.0
19.06,56.65,1020.82,82.14,455.7
14.42,48.92,1011.76,76.03,461.14
16.01,65.46,1014.0,87.68,454.16
33.4,69.98,1013.29,47.78,432.44
18.21,49.69,1013.54,80.16,454250.0
11.44,44.2,1018.14,84.9,476.12
30.22,68.3,1014.91,34.9,434.3
27.13,59.54,1004.33,73.27,438.32
15.95,42.24,1017.71,69.32,465.35
22.28,58.12,1014.54,83.27,448.97
23.85,72.43,1008.01,88.34,439.02
19.69,56.65,1020.86,70.02,454.87
18.67,44.06,1017.13,77.18,454.51
12.02,39.69,1006.05,84.66,470.17
29.07,51.43,1006.22,61.58,438.79
32.12,69.98,1013.31,54.3,429860.0
8.77,42.49,1010.7,86.78,469.1
30.9,70.8,1008.48,67.48,435.27
19.31,60.07,1014.86,69.37,453470.0
19.65,44.89,1009.76,75.36,451.35
20.91,59.14,1017.25,74.7,442.67
