AT,V,AP,RH,PE
22.74,58.41,1013.92,84.03,447.85
10.17,41.17,1018.58,87.72,478.04
8.37,39.99,1010.36,93.26,482.31
6.65,39.33,1011.29,92.85,490.41
28.08,73.17,1011.19,73.1,430.8
7.71,40.77,1021.93,87.04,482.19
15.25,46.36,1019.69,95.83,461.68
18.22,45.09,1013.62,75.56,454.74
14.8,44.71,1014.67,41.71,470.77
30.17,75.08,1005.17,55.89,438.89
30.15,72.51,1009.37,50.64,443.72
15.11,43.67,1012.06,91.75,467.82
20.71,46.63,1013.1,74.49,453.05
28.85,59.27,1011.69,51.8,440.3
13.17,38.91,1016.55,74.47,470.63
20.26,50.32,1009.81,93.12,448.4
7.94,40.6,1015.3,92.14,486.33
15.19,41.43,1011.34,89.67,470.41
25.2,63.76,1009.78,64.96,438.15
8.27,39.64,1011.0,84.64,479.91
4.88,40.27,1012.66,74.51,491.29
20.73,41.1,1001.86,47.51,456.44
21.67,57.76,1018.32,68.21,452.56
15.61,41.2,1016.12,75.28,467.81
21.45,45.09,1013.83,52.26,453.15
25.15,71.14,1011.68,70.33,434.99
29.35,68.51,1007.63,70.67,430.22
25.0,59.43,1007.84,68.91,438.28
30.93,73.42,1010.98,56.42,432.44
32.48,69.89,1013.98,46.39,434.13
22.04,59.14,1017.34,84.75,442.45
8.57,41.17,1020.18,72.47,484.2
25.24,57.17,1010.44,74.0,442.77
28.69,58.33,1013.67,34.1,448.54
10.36,37.83,1005.87,98.56,472.62
24.33,77.54,1008.5,82.45,435.38
22.21,60.77,1018.21,84.96,444.57
28.36,60.23,1010.05,53.03,441.08
30.16,73.17,1010.74,58.99,434.43
25.56,70.32,1009.07,90.63,433.72
28.09,70.02,1010.84,51.29,437.83
11.34,45.17,1018.32,96.24,472.13
17.67,43.96,1011.68,82.13,466.31
30.12,69.68,1012.89,60.64,436.34
10.23,43.72,1011.18,97.93,471.61
16.09,44.71,1017.86,42.74,464.95
23.7,70.32,1007.21,66.85,439.59
25.9,48.92,1009.82,35.42,443.8
24.42,57.32,1011.46,55.92,443.94
9.37,42.32,1015.15,82.96,477.57
30.69,73.67,1006.14,60.58,430.45
17.29,52.72,1024.71,62.32,467.23
31.33,65.18,1011.97,36.62,435.77
18.39,38.52,1019.66,66.93,453.89
5.47,38.68,1017.33,72.71,485.7
27.51,71.32,1007.59,80.02,433.16
20.12,65.94,1009.93,76.24,447.46
13.52,40.83,1008.31,84.14,471.95
19.3,46.93,1014.83,66.71,456.62
20.21,58.12,1015.36,79.18,453.19
7.64,43.79,1016.17,84.45,486.01
23.58,49.3,1003.8,74.62,440.44
21.35,57.76,1017.36,73.1,452.57
27.59,54.2,1013.1,51.61,439.31
31.23,72.58,1006.61,60.8,427.58
26.52,63.94,1018.23,42.41,440.47
27.08,62.91,1011.9,62.58,442.91
22.55,47.45,1008.65,67.9,447.42
3.38,39.64,1011.0,81.22,488.92
4.65,35.19,1018.23,94.78,489.36
28.39,65.51,1014.52,66.48,438.78
10.34,37.5,1010.35,95.56,474.08
25.16,68.08,1010.89,70.16,435.78
27.76,71.97,1008.53,86.97,434.04
31.46,70.79,1003.54,59.51,425.68
31.41,74.16,1008.65,68.5,430.37
14.42,44.66,1016.1,93.89,461.34
26.17,48.6,1002.59,61.41,439.86
14.84,43.69,1016.31,68.67,472.07
30.61,77.17,1009.49,73.19,430.46
14.82,42.74,1028.04,69.81,466.34
8.35,42.85,1010.46,90.13,483.63
26.3,77.95,1009.45,78.72,437.95
18.22,49.25,1020.33,61.87,454.66
4.15,39.9,1008.84,96.68,491.22
31.99,53.53,1004.98,53.53,432.43
18.92,44.06,1017.47,68.75,453.72
23.64,58.49,1011.4,74.2,445.75
14.44,39.0,1017.06,76.02,466.96
6.45,35.77,1018.86,67.84,483.12
17.79,44.9,1020.5,69.72,457.72
29.17,74.34,1004.51,82.02,433.03
25.53,57.17,1010.0,72.57,442.12
20.76,44.58,1017.09,57.47,462.01
10.11,39.72,1019.1,69.68,476.8
4.41,42.07,1005.54,68.85,488.36
13.15,40.78,1024.13,79.59,462.3
26.32,69.71,1009.39,67.05,441.25
19.77,54.42,1011.73,89.26,458.21
27.29,62.66,1007.63,58.02,439.58
23.77,59.21,1011.97,80.08,440.08
24.31,66.49,1011.38,54.35,440.79
21.67,50.32,1008.41,85.99,445.31
20.94,44.58,1016.98,59.65,463.69
21.47,60.77,1018.06,85.73,444.02
9.53,38.38,1020.49,80.08,478.03
19.89,51.43,1007.33,92.08,448.98
24.37,63.47,1012.77,75.22,445.6
12.6,41.5,1013.07,86.22,472.45
27.0,69.4,1004.86,82.2,433.83
28.08,64.44,1013.02,64.34,440.26
4.59,39.33,1010.85,71.78,494.9
21.23,68.08,1012.82,74.57,445.41
28.42,73.4,1011.39,62.72,438.25
14.7,41.39,1018.84,68.19,469.6
17.47,43.56,1014.15,54.71,460.87
13.86,41.58,1020.69,70.74,461.56
14.01,38.91,1015.86,69.24,470.1
18.48,58.59,1015.61,85.14,452.52
13.69,40.83,1008.53,84.81,471.26
