Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28.0,36.80422888
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90.0,37.91428524
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28.0,18.0297974
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,21.7529678
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56.0,53.95839176
194.68,0.0,100.52,165620.0,7.48,1006.4,905.9,3.0,12.45193656
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,56.0,37.2661778
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0,66.42411784
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28.0,25.72434956
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3.0,15.43736764
236.0,157.0,0.0,192000.0,0.0,972.6,749.1,28.0,32.88455782
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0,45.939785879999995
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
275.07,0.0,121.35,159480.0,9.9,1053.6,777.5,28.0,51.331488199999995
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,25.3727168
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.300132
313.0,161.0,0.0,178.0,10.0,917.0,759.0,28.0,52.44154456
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100.0,56.8128224
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,55.25460664
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56.0,42.54756396
236.0,157.0,0.0,192000.0,0.0,972.6,749.1,3.0,13.5654403
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90.0,43.565230536
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14.0,31.81242264
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,29.39236188
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90.0,43.377003588
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0,65.99664272
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28.0,27.3377234
387.0,20.0,94.0,157.0,14.32,938.0,845.0,7.0,36.83870268
141.3,212.0,0.0,203500.0,0.0,971.8,748.5,7.0,10.3938507
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.90037588
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28.0,18.033934256
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90.0,36.588422892
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28.0,31.875164956000003
190.34,0.0,125.18,161850.0,9.88,1088.1,802.59,100.0,40.38950408
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28.0,23.696600644
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28.0,37.2661778
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.69808963999999
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28.0,17.596806471999997
277.19,97.82,24.46,160700.0,11.19,1061.7,782.46,14.0,47.7117392
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,28.0,47.401475
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100.0,50.93848688
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28.0,34.73580088
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.1964508
288.4,121.0,0.0,177400.0,7.0,907.9,829.5,28.0,42.14008364399999
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28.0,39.1622368
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28.0,43.892042159999995
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28.0,21.91154728
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,39.41734292
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3.0,6.902344236
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28.0,57.21271848
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28.0,24.90387312
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0,14.69962832
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56.0,35.34253976
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14.0,31.35047372
469.0,117.2,0.0,137800.0,32.2,852.1,840.5,7.0,54.89607912
150.0,237.0,0.0,174000.0,12.0,1069.0,675.0,28.0,37.43165204
212.57,0.0,100.39,159350.0,10.37,1003.8,903.79,100.0,47.73931824
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28.0,21.6495464
380.0,95.0,0.0,228000.0,0.0,932.0,594.0,90.0,40.563252031999994
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
385.0,0.0,0.0,186000.0,0.0,966.0,763.0,28.0,31.35047372
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28.0,39.421479776
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90.0,48.79421652
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.89985628
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.046164976
325.0,0.0,0.0,184000.0,0.0,1063.0,783.0,28.0,30.57136584
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180.0,29.58541516
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7.0,24.065470304
397.0,0.0,0.0,185000.0,0.0,1040.0,734.0,28.0,39.0932892
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14.0,23.5111316
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100.0,56.63355864
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14.0,20.91870184
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28.0,35.314271244
425.0,106.3,0.0,151400.0,18.6,936.0,803.7,91.0,66.69990824
313.0,145.0,0.0,178000.0,8.0,1002.0,689.0,28.0,41.05140104
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28.0,32.768036376000005
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7.0,10.730314988
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3.0,17.9953236
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7.0,19.35014394
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,29.41304616
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100.0,48.15300384
475.0,0.0,0.0,228000.0,0.0,932.0,594.0,90.0,42.229026048
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3.0,6.280436883999999
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.104130996
200.0,133.0,0.0,192000.0,0.0,965.4,806.2,28.0,30.439675923999996
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28.0,35.86585204399999
388.6,97.1,0.0,157900.0,12.1,852.1,925.7,56.0,55.19944856
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.064311264
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0,33.192064116000005
250.0,0.0,0.0,182000.0,0.0,1100.0,820.0,28.0,20.87043852
525.0,0.0,0.0,189000.0,0.0,1125.0,613.0,180.0,61.921839559999995
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28.0,46.247292176
153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28.0,19.00885332
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28.0,23.524231644
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28.0,43.733462679999995
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.419591196
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28.0,31.6469484
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28.0,69.83702404
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,26.77235308
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,100.0,46.2293658
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7.0,14.79615496
525.0,0.0,0.0,189000.0,0.0,1125.0,613.0,90.0,58.78472376
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3.0,14.98920824
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14.0,29.55094136
153.0,145.0,113.0,178000.0,8.0,867.0,824.0,28.0,26.22766704
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180.0,26.74477404
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.615941924
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,37.997022359999995
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,26.8550902
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225402399999
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.79617508
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.587373719999995
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,10.76272036
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69143456
491.0,26.0,123.0,210.0,3.93,882.0,699.0,56.0,59.59042571527067
