Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.09954452
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,30.6472082
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56.0,29.447519959999997
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3.0,16.10960674
252.31,0.0,98.75,146.25,14.17,987.76,889.01,14.0,42.29245784
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14.0,25.68987576
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28.0,32.39847724
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,39.300132
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,28.46846404
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,56.14403068
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0,55.0201848
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28.0,37.36270444
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28.0,23.786922
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28.0,39.84481804
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28.0,40.934879596
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7.0,14.49968028
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1.0,6.26733684
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120.0,38.70028788
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180.0,71.62276688
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28.0,39.056057496
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,21.60128308
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28.0,33.60506024
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28.0,15.41668336
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28.0,39.45181672
