number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
2.0,81.927,709.85,165.5,5917.0,81.55,26.0,41.5,4.0,81.0,47.6666666666667,8.0
4.0,90.7654,790.7,161.0,9427.75,63.2675,19.0,119.75,4.0,80.0,102.142857142857,18.7
6.0,120.375211666667,761.05,150.666666666667,6476.23816666667,74.6216666666667,7.0,81.8377633333333,3.0,171.0,80.6210966666667,30.9
5.0,83.9503,853.1,149.8,6463.0858,67.246,9.0,107.465316,2.8,171.0,63.01454,51.0
6.0,81.8109,802.9,160.833333333333,6500.40483333333,70.7883333333333,11.0,114.337763333333,2.83333333333333,185.0,141.403797142857,12.8
8.0,116.001225,712.2625,172.75,5854.678625,58.63125,9.0,88.8783225,2.75,205.0,168.972658,107.0
4.0,94.03645,827.5,138.75,5342.85725,90.4075,8.0,110.756645,2.75,171.0,43.9017709090909,6.38
6.0,103.075675,706.533333333333,189.0,4718.5715,64.5633333333333,7.0,84.1710966666667,2.5,205.0,99.0692229124709,81.0
2.0,81.18535,812.9,152.5,4806.5,103.45,57.0,76.5,3.5,171.0,133.952380952381,8.0
5.0,72.942289,786.82,162.0,5168.6858,74.83,10.0,107.005316,2.6,205.0,94.5345659133127,89.0
3.0,68.5874666666667,718.333333333333,170.333333333333,7764.33333333333,57.7666666666667,17.0,64.3333333333333,3.0,57.0,43.6666666666667,1.25
3.0,72.8169566666667,866.4,129.333333333333,5035.80966666667,103.966666666667,7.0,137.675526666667,2.33333333333333,147.0,60.8723314285714,28.0
2.0,119.10155,705.75,177.0,14105.0,40.9,27.0,71.0,6.5,22.0,84.8,1.31
6.0,95.5789666666667,748.933333333333,163.666666666667,5137.0715,69.5,8.0,109.00443,2.66666666666667,185.0,71.934176,60.4
4.0,134.35253,710.4,191.0,10621.5,63.75,12.0,74.0,3.75,105.0,117.95652173913,0.07
3.0,51.59336,907.633333333333,143.333333333333,4359.417,35.0666666666667,15.0,25.3419433333333,4.0,142.0,16.8655102030457,13.2
6.0,54.702375,801.816666666667,150.833333333333,3262.23816666667,84.2333333333333,7.0,108.705263333333,2.83333333333333,171.0,94.63932,34.9
6.0,110.320616666667,790.816666666667,161.166666666667,6567.5715,50.6533333333333,6.0,112.05443,2.16666666666667,205.0,169.786658,90.7
6.0,93.8524783333333,712.016666666667,176.833333333333,4872.23816666667,63.7866666666667,9.0,107.671096666667,2.33333333333333,205.0,101.28351610814,71.0
6.0,70.5274666666667,736.55,152.666666666667,3909.40483333333,71.1,7.0,121.337763333333,2.33333333333333,171.0,133.336497619048,91.2
2.0,118.57425,704.6,179.5,13565.0,34.05,28.0,39.5,6.0,17.0,44.6,5.2
5.0,79.171174,738.22,167.0,4033.4858,66.244,7.0,126.205316,2.2,205.0,102.40182673913,40.1
4.0,104.3656,891.65,154.25,6501.35725,69.8375,6.0,106.581645,2.0,205.0,61.107129113924,94.3
7.0,81.5013785714286,774.371428571429,157.571428571429,4933.347,56.8714285714286,9.0,111.432368571429,2.57142857142857,171.0,67.7708426666667,65.5
5.0,107.295804,754.0,158.8,6447.2858,68.226,9.0,99.405316,2.4,178.0,72.4373892307692,83.5
5.0,90.062574,735.94,162.6,4949.4858,73.986,7.0,93.005316,2.4,171.0,61.4151885714286,33.5
4.0,90.2786,773.025,163.0,4870.35725,82.3375,7.0,108.756645,2.25,205.0,96.3989276923077,95.56
5.0,105.342852,735.24,183.0,5686.2858,76.17,9.0,89.605316,2.6,205.0,96.3373892307692,80.9
5.0,92.26674,747.78,159.2,5174.2858,60.484,7.0,132.805316,2.2,205.0,77.3009028571429,107.995
2.0,17.558,768.75,116.0,2099.0,14.85,29.0,93.5,2.5,58.0,71.3333333333333,38.4
5.0,72.32465,787.02,162.8,4963.4858,65.23,9.0,102.805316,2.4,205.0,92.5469276923077,57.0
5.0,78.7827,853.88,139.4,6612.4858,80.38,14.0,59.205316,3.8,158.0,37.394145,7.1
4.0,90.97585,782.425,146.0,5665.10725,91.35,6.0,107.006645,2.75,158.0,108.236645,18.0
6.0,74.0185083333333,734.65,173.833333333333,5010.23816666667,66.2833333333333,12.0,131.171096666667,3.0,199.0,94.8412353846154,16.0
4.0,99.67475,734.725,163.25,6198.5,108.8,14.0,55.05125,4.75,144.0,61.3417150225661,10.7
3.0,90.56876,831.766666666667,145.333333333333,9172.66666666667,115.833333333333,18.0,49.4016666666667,4.33333333333333,113.0,20.0822368421053,4.095
4.0,42.6052375,809.375,128.75,4525.0,82.05,46.0,68.75,3.0,145.0,65.5,15.6
3.0,82.4915,797.133333333333,144.333333333333,8506.0,114.466666666667,26.0,127.0,4.0,66.0,127.0,2.5
3.0,138.322626666667,810.866666666667,164.0,11637.6666666667,93.1333333333333,23.0,43.6666666666667,5.0,77.0,21.2608695652174,4.46
4.0,104.3656,891.65,154.25,6501.35725,69.8375,6.0,106.581645,2.0,205.0,55.55079,35.0
4.0,96.03285,785.4,168.0,5384.35725,82.3375,10.0,108.256645,2.25,205.0,178.718082857143,91.7
6.0,59.9346530333333,992.716666666667,119.333333333333,4536.6875,103.283333333333,10.0,24.9590466666667,3.0,153.0,35.50221955,22.6
6.0,107.291233333333,819.183333333333,166.5,8095.90483333333,49.87,11.0,112.387763333333,2.83333333333333,205.0,103.1542275,132.92
4.0,104.40466625,679.425,167.5,8681.5,81.575,14.0,75.0,4.25,50.0,68.5,5.0
3.0,51.5511666666667,689.0,167.666666666667,6163.66666666667,26.1333333333333,18.0,44.0,4.0,20.0,26.668,6.79
2.0,53.506091,800.5,147.5,6674.0,28.0,15.0,120.5,4.0,71.0,183.95652173913,5.21
7.0,108.047035985714,712.871428571429,171.571428571429,5162.91842857143,64.1571428571429,7.0,102.003797142857,2.57142857142857,250.0,140.0177015625,109.05
3.0,95.4869,781.9,155.0,8616.66666666667,76.7666666666667,56.0,100.666666666667,4.66666666666667,141.0,136.06936416185,12.0
3.0,84.3441666666667,612.5,194.333333333333,2823.33333333333,52.36,22.0,67.6666666666667,2.66666666666667,142.0,131.074074074074,7.2
3.0,49.2153462,602.0,141.666666666667,4904.66666666667,42.1666666666667,13.0,98.3333333333333,3.66666666666667,53.0,214.765765765766,1.66
5.0,61.876501,793.84,135.4,6369.6,82.76,41.0,75.0,3.2,155.0,65.5723793677205,10.3
5.0,101.94881,726.82,184.8,4871.0858,76.17,8.0,89.005316,2.6,205.0,96.1527738461538,53.5
2.0,73.012956,670.55,181.0,7677.5,61.2,21.0,68.0,4.5,6.0,85.3333333333333,2.24
5.0,103.00601,736.28,185.2,5402.4858,76.17,8.0,88.405316,2.6,205.0,95.9527738461538,67.1
5.0,83.24476,779.88,149.8,4584.2858,73.1,8.0,128.605316,2.6,171.0,158.045077697842,75.0
6.0,56.2743025333333,1039.36666666667,117.5,3677.85416666667,115.45,8.0,23.7150466666667,3.33333333333333,205.0,25.553873,8.71
1.0,190.23,819.8,185.0,22590.0,107.6,31.0,87.0,6.0,0.0,87.0,0.671
4.0,23.7781,807.025,134.0,1695.35725,53.55,8.0,66.756645,2.25,128.0,18.6580457142857,11.9
3.0,70.9453333333333,729.4,143.666666666667,8148.33333333333,98.7,24.0,61.0,3.33333333333333,90.0,68.3333333333333,2.17
4.0,92.50535,784.575,154.0,5750.85725,91.35,7.0,106.006645,2.75,190.0,60.82376,18.3
5.0,62.602374,733.62,154.8,3654.4858,75.906,6.0,106.605316,2.0,171.0,60.44376,36.5
4.0,74.7668405,804.75,155.25,4733.5,46.1625,13.0,36.809,3.75,155.0,42.659472,7.73
6.0,83.8915416666667,754.516666666667,162.0,4825.5715,56.75,8.0,114.50443,2.5,171.0,87.0509492163009,45.0
4.0,117.108375,738.7,167.0,11505.25,85.85,27.0,84.5,4.5,141.0,79.8888888888889,3.83
4.0,100.351275,734.25,171.75,3536.85725,75.1375,5.0,31.506645,2.5,205.0,21.01329,28.0
3.0,56.9482,764.9,154.666666666667,5050.33333333333,33.5233333333333,17.0,109.666666666667,3.33333333333333,80.0,91.6,11.6
4.0,76.797975,656.575,191.5,4491.75,40.5125,13.0,61.75,2.75,139.0,59.136,26.0
5.0,81.428174,771.7,157.0,6021.4858,84.246,11.0,113.605316,3.0,171.0,60.4266171428571,16.1
5.0,82.32534,757.08,152.4,4998.2858,58.7,7.0,136.205316,2.2,171.0,87.6121781161695,43.0
3.0,87.4683333333333,856.166666666667,127.333333333333,6311.0,135.133333333333,12.0,27.5066666666667,5.0,53.0,40.07,13.3
3.0,49.5833333333333,671.6,139.333333333333,4781.33333333333,72.5333333333333,26.0,70.0,4.0,60.0,45.625,8.6
2.0,64.41235,979.75,106.0,3655.6255,19.45,2.0,41.012915,3.0,100.0,41.012915,2.4
2.0,97.92535,927.7,130.0,10755.0,117.75,70.0,155.0,5.0,126.0,160.0,3.35
4.0,91.8081,775.175,171.0,4956.10725,82.3375,7.0,107.756645,2.25,205.0,96.1651881601232,90.7
8.0,108.0027375,716.7,166.75,6291.428625,59.08125,7.0,145.5033225,2.25,205.0,196.91482513089,112.0
5.0,72.942289,786.82,162.0,5168.6858,74.83,10.0,107.005316,2.6,205.0,109.414176,68.5
3.0,126.96104,592.666666666667,206.666666666667,8385.33333333333,67.9333333333333,13.0,48.6666666666667,4.33333333333333,69.0,84.3333333333333,1.92
6.0,97.2471333333333,746.733333333333,162.5,5331.23816666667,69.5,10.0,109.671096666667,2.66666666666667,178.0,68.204176,36.4
5.0,104.542074,732.24,183.8,5581.2858,76.17,9.0,89.405316,2.6,205.0,96.1904661538462,9.51
5.0,93.884544,736.72,178.2,4779.2858,67.176,9.0,93.805316,2.2,205.0,110.374176,82.0
5.0,91.33225,845.7,159.0,5919.4858,60.306,7.0,92.065316,2.2,171.0,60.254176,42.0
3.0,71.1902933333333,630.8,168.333333333333,6861.33333333333,56.7,18.0,38.0,4.33333333333333,62.0,44.3,12.5
5.0,51.63698,769.32,155.4,3850.2858,64.98,11.0,133.205316,2.6,171.0,248.552658,75.0
6.0,92.521545,740.083333333333,157.333333333333,4844.5715,69.1666666666667,8.0,109.337763333333,2.66666666666667,171.0,134.9283225,86.0
5.0,63.22488064,1047.7,119.6,4191.425,124.04,10.0,28.410856,2.8,196.0,35.506673,41.5
4.0,92.2091,776.875,169.25,4428.85725,82.3375,8.0,108.006645,2.25,205.0,95.6226412088753,81.0
5.0,87.04348,777.34,166.0,5779.2858,69.31,9.0,101.605316,2.4,205.0,91.4914307347254,58.0
4.0,60.6964508,1067.4,110.25,3993.28125,160.85,5.0,104.26357,2.0,164.0,59.4677575342466,19.0
5.0,74.23165,816.36,160.0,4816.6858,62.09,8.0,111.005316,2.2,205.0,173.003797142857,38.0
3.0,98.4287933333333,717.3,185.666666666667,10291.0,72.0666666666667,26.0,88.0,5.0,29.0,64.795,1.53
4.0,76.5177175,787.05,151.75,4434.35725,79.6075,7.0,112.006645,2.25,171.0,61.1866171428571,30.3
3.0,20.6991795333333,704.9,116.666666666667,2299.33333333333,24.5666666666667,23.0,140.666666666667,2.66666666666667,58.0,72.5833333333333,36.3
3.0,73.77426,659.5,161.0,7794.0,77.1666666666667,17.0,58.0,3.33333333333333,62.0,51.48,10.6
5.0,88.76908,746.7,163.0,5255.2858,71.95,7.0,91.605316,2.4,205.0,87.3758507692308,21.0
4.0,115.7599625,761.75,170.75,10817.0,103.4,20.0,54.75,4.25,87.0,47.5,2.52
1.0,127.6,869.0,123.0,6240.0,191.7,18.0,3.0,6.0,0.0,3.0,2.05
