number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,96.3989276923077,89.2
5.0,78.67965,745.0,175.4,3914.6858,63.096,8.1444,94.005316,2.2,205.0,110.894176,81.2
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,96.3989276923077,86.6
7.0,87.96575,770.614285714286,161.857142857143,5371.91842857143,48.8571428571429,7.476,111.86094,2.42857142857143,171.0,148.275225714286,22.5
6.0,86.2707333333333,717.0,180.166666666667,3870.23816666667,56.625,7.59366666666667,115.337763333333,2.16666666666667,205.0,105.913564076433,80.3
3.0,30.3203333333333,765.533333333333,129.333333333333,4024.0,15.6333333333333,24.1666666666667,88.6666666666667,2.66666666666667,69.0,71.0633333333333,31.2
3.0,74.27638976,859.466666666667,143.666666666667,6739.80966666667,92.3,12.6073333333333,103.342193333333,3.0,145.0,48.8971355140187,0.56
4.0,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,205.0,60.9580457142857,30.0
3.0,95.7966,746.0,138.0,6640.0,91.4333333333333,9.57666666666667,25.735,4.66666666666667,84.0,14.7638603696099,3.5
6.0,76.872645,766.15,162.833333333333,4551.23816666667,55.4533333333333,7.252,125.171096666667,2.16666666666667,205.0,103.629696923077,20.0
3.0,154.93849,654.833333333333,164.666666666667,8265.33333333333,64.9666666666667,6.02333333333333,38.3333333333333,3.66666666666667,50.0,41.5,1.18
2.0,97.06475,689.6,189.5,9480.5,76.9,21.35,86.5,5.0,33.0,28.08,5.0
2.0,75.38625,688.65,174.5,8478.5,60.15,20.2,86.0,5.0,3.0,23.28,1.16
5.0,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,171.0,60.94376,28.0
3.0,117.162133333333,796.1,130.333333333333,7853.0,136.366666666667,9.8,136.173333333333,4.33333333333333,42.0,25.2476370510397,3.2
5.0,79.57161,735.32,177.4,4132.2858,66.644,7.3524,126.205316,2.4,205.0,103.283543076923,52.0
3.0,87.4683333333333,856.166666666667,127.333333333333,6311.0,135.133333333333,12.2333333333333,27.5066666666667,5.0,53.0,41.1920792079208,12.7
5.0,100.210634,765.32,146.4,7865.2,98.28,37.68,53.6,3.8,139.0,59.3582089552239,4.28
1.0,92.90638,663.6,198.0,8570.0,87.6,26.8,54.0,5.0,0.0,54.0,9.18
5.0,100.561774,734.16,155.8,5761.2858,82.98,6.4444,88.205316,2.8,158.0,61.3723314285714,18.4
5.0,38.83494,864.18,141.8,2274.1286,133.334,5.4784,140.007096,2.4,195.0,97.5118266666666,24.0
2.0,157.704,782.0,163.5,10422.0,15.95,2.775,45.15,2.5,15.0,57.4579,4.115
3.0,57.9677666666667,706.0,167.333333333333,4516.33333333333,87.8666666666667,7.17666666666667,59.84,3.33333333333333,140.0,52.4593548387097,32.6
2.0,137.532,714.7,199.5,12880.5,61.35,28.0,96.5,5.0,13.0,121.0,2.16
7.0,94.07254,730.757142857143,172.285714285714,6731.63271428571,80.3328571428571,12.7602857142857,90.1466542857143,3.42857142857143,185.0,59.1568117647059,26.8
4.0,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,171.0,61.5009028571429,30.5
2.0,71.9135,671.3,183.0,7393.5,41.25,27.35,80.5,5.0,14.0,36.2155,3.5
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,96.3989276923077,92.7
2.0,145.13,786.6,181.0,15636.5,67.65,25.85,120.5,5.0,24.0,98.72,0.345
2.0,39.5135,718.05,141.0,4220.0,93.6,36.5,90.5,4.5,60.0,58.4615384615385,15.8
4.0,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,147.0,60.8551885714286,7.97
7.0,110.540542857143,736.385714285714,163.0,5944.91842857143,64.8,7.71885714285714,98.7180828571429,2.85714285714286,190.0,168.477658,88.0
5.0,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,205.0,88.5041952011693,26.0
7.0,110.540542857143,736.385714285714,163.0,5944.91842857143,64.8,7.71885714285714,98.7180828571429,2.85714285714286,190.0,169.225658,107.0
5.0,87.98225,798.44,163.4,7062.6858,76.026,13.5444,124.405316,3.0,171.0,94.4328218604651,24.0
3.0,35.3361795333333,671.1,133.333333333333,3713.33333333333,77.0666666666667,27.9,138.666666666667,4.0,60.0,69.25,10.1
4.0,104.3656,891.65,154.25,6501.35725,69.8375,5.903,106.581645,2.0,205.0,54.2626825641026,95.0
3.0,44.655015,717.633333333333,147.666666666667,5303.33333333333,62.9,28.7333333333333,62.9,4.33333333333333,60.0,58.9319693094629,8.1
6.0,81.4687333333333,705.083333333333,177.5,3943.5715,56.625,7.49366666666667,111.671096666667,2.16666666666667,205.0,105.322004615385,63.0
3.0,124.14449,602.433333333333,165.333333333333,6922.0,62.9,5.52,54.0,3.33333333333333,50.0,56.3125,0.67
5.0,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,171.0,72.414176,72.0
3.0,31.6697,853.066666666667,120.333333333333,4302.0,90.1333333333333,43.6333333333333,130.333333333333,2.66666666666667,82.0,114.6,7.69
2.0,93.592,672.25,198.0,8395.5,58.0,28.5,81.0,5.0,16.0,29.0552,4.0
5.0,72.143259,778.56,163.8,4882.6858,62.09,9.1844,88.545316,2.6,205.0,95.0409661538462,91.24
5.0,85.99348,782.78,167.0,5649.2858,69.31,9.0244,101.605316,2.4,205.0,173.56094,75.3
3.0,73.5228333333333,713.733333333333,160.0,5771.33333333333,55.3,20.4,25.6666666666667,4.66666666666667,43.0,26.145,1.49
2.0,17.558,768.75,116.0,2099.0,14.85,29.35,93.5,2.5,58.0,71.3333333333333,38.5
5.0,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,205.0,93.9900161370716,75.0
3.0,30.3459,840.6,116.333333333333,3566.66666666667,114.2,59.3333333333333,107.0,4.33333333333333,104.0,124.428571428571,16.4
3.0,97.3242933333333,899.833333333333,130.0,7809.66666666667,143.5,14.3766666666667,19.2416666666667,5.66666666666667,113.0,19.1576666666667,2.75
4.0,121.73029875,614.8,178.75,7367.25,49.65,8.165,58.0,3.5,70.0,74.9285714285714,1.97
6.0,60.9787083333333,731.766666666667,159.0,3919.5715,55.7166666666667,7.80866666666667,113.50443,2.33333333333333,171.0,78.9604661538462,41.0
5.0,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,205.0,104.196623333333,89.0
5.0,92.36873464,1035.5,106.2,4149.625,162.14,4.6164,4.314856,3.4,153.0,4.413428,2.6
5.0,63.30062,839.06,146.4,3472.2858,87.956,26.8644,118.605316,2.4,205.0,69.374184494382,26.0
3.0,96.2277666666667,677.566666666667,159.0,8250.33333333333,63.6333333333333,31.2333333333333,64.3333333333333,4.0,130.0,80.4444444444444,8.28
6.0,113.217633333333,785.0,149.833333333333,7165.23816666667,78.605,12.1653333333333,102.837763333333,3.5,171.0,158.8408225,107.0
2.0,61.6445,829.35,146.5,4235.5,122.05,11.365,11.6025,5.0,119.0,11.0597619047619,4.5
3.0,120.376,711.733333333333,141.333333333333,6953.33333333333,110.3,9.25333333333333,50.6666666666667,4.33333333333333,33.0,35.2885572139304,1.36
5.0,69.07755,750.1,146.4,5588.2,75.94,41.12,58.2,3.0,150.0,65.3666666666667,14.68
3.0,30.018015,751.433333333333,131.0,3889.33333333333,10.4,23.9666666666667,64.9,3.0,74.0,70.8256666666667,30.6
